NOM_MUN|COD_MUN|DATO_1|DATO_2|DATO_3|DATO_4|DATO_5|DATO_6|DATO_7|DATO_8|DATO_9|DATO_10|DATO_11|DATO_12|DATO_13|DATO_14|DATO_15|DATO_16|DATO_17|DATO_18|DATO_19|DATO_20|DATO_21|DATO_22|DATO_23|DATO_24|DATO_25|DATO_26|DATO_27|DATO_28|DATO_29|DATO_30|DATO_31
ABEJORRAL|05002|6,217|13,676|19,893|34.00|0.15|0.13|0.31|0.09|0.50|N.D.|N.D.|N.D.|N.D.|48.00|53.00|12.00|35.00|1.22|68.29|35.41|95.94|1.33|1.16|17.55|23.58|21.44|34.59|8.00|41.12|96.57|64.90
ABREGO|54003|14,683|19,726|34,409|48.00|0.76|0.72|0.30|0.39|0.47|N.D.|N.D.|N.D.|N.D.|38.00|52.00|34.00|39.00|68.00|40.68|33.66|60.08|59.00|73.00|9.77|71.16|49.58|34.66|9.00|45.64|75.19|52.90
ABRIAQUÍ|05004|669|1,504|2,173|29.00|0.17|0.10|0.27|0.15|0.46|N.D.|N.D.|N.D.|N.D.|97.00|62.00|7.00|33.00|16.78|43.25|27.23|88.24|1.51|22.68|13.45|40.55|32.99|27.60|0|40.03|91.08|58.39
ACACÍAS|50006|45,289|9,464|54,753|23.00|0.66|0.40|0.29|0.22|0.64|N.D.|N.D.|N.D.|N.D.|36.00|81.00|8.00|51.00|6.76|90.93|83.94|97.78|4.71|22.47|6.96|22.52|8.76|85.84|72.79|84.93|97.08|91.33
ACANDÍ|27006|4,974|5,096|10,070|48.00|0.77|0.55|0.29|0.86|0.19|N.D.|N.D.|N.D.|N.D.|82.00|69.00|19.00|57.00|49.41|71.79|9.79|63.32|42.11|90.65|26.12|77.13|33.78|18.91|10.00|29.07|65.70|68.60
ACEVEDO|41006|4,648|21,949|26,597|64.00|0.66|0.38|0.34|0.33|0.73|N.D.|N.D.|N.D.|N.D.|39.00|52.00|14.00|66.00|6.48|30.78|15.69|73.91|2.36|7.36|16.99|48.93|43.32|15.62|6.00|21.87|84.89|6.57
ACHÍ|13006|3,404|16,225|19,629|81.00|0.76|0.66|0.30|0.79|0.73|N.D.|N.D.|N.D.|N.D.|33.00|59.00|27.00|24.00|49.70|20.16|14.00|45.15|45.49|59.37|83.79|97.93|88.08|13.00|0|44.00|42.91|18.10
AGRADO|41013|4,621|3,838|8,459|45.00|0.08|0.27|0.29|0.26|0.10|N.D.|N.D.|N.D.|N.D.|72.00|67.00|16.00|43.00|2.98|65.28|47.77|84.57|1.13|6.21|33.94|57.78|42.61|50.58|14.00|54.11|90.84|66.35
AGUA DE DIOS|25001|8,839|2,676|11,515|21.00|0.10|0.07|0.29|0.17|0.10|N.D.|N.D.|N.D.|N.D.|78.00|83.00|11.00|51.00|2.87|88.83|72.52|98.01|2.17|5.05|3.14|19.95|7.26|73.95|14.00|75.31|97.64|90.00
AGUACHICA|20011|67,936|12,853|80,789|41.00|0.72|0.56|0.30|0.32|0.71|N.D.|N.D.|N.D.|N.D.|43.00|72.00|21.00|55.00|4.36|88.34|66.54|91.69|3.81|10.34|15.31|66.36|19.61|44.61|39.42|72.99|90.84|87.02
AGUADA|68013|227|1,267|1,494|39.00|0.01|0.05|0.26|0.03|0.15|N.D.|N.D.|N.D.|N.D.|96.00|57.00|23.00|24.00|2.86|72.81|9.01|71.58|0|3.15|7.37|37.93|35.07|9.56|20.00|13.29|71.98|76.07
AGUADAS|17013|9,835|12,472|22,307|23.00|0.08|0.10|0.27|0.21|0.35|N.D.|N.D.|N.D.|N.D.|65.00|58.00|9.00|20.00|1.82|79.10|50.14|94.83|1.07|2.57|40.31|38.17|39.24|46.81|3.00|96.36|96.57|76.55
AGUAZUL|85010|19,986|7,457|27,443|27.00|0.62|0.31|0.29|0.38|0.70|N.D.|N.D.|N.D.|N.D.|N.D.|75.00|10.00|60.00|9.83|79.62|68.14|91.14|3.06|30.97|4.11|25.53|9.31|78.47|66.10|73.81|95.22|79.81
AGUSTÍN CODAZZI|20013|37,658|14,561|52,219|52.00|0.97|0.62|0.27|0.75|0.84|N.D.|N.D.|N.D.|N.D.|45.00|74.00|15.00|44.00|7.33|82.10|42.75|85.93|2.85|32.09|21.99|88.20|32.12|59.42|8.52|62.66|79.38|74.20
AIPE|41016|12,254|7,674|19,928|38.00|0.09|0.37|0.30|0.12|0.16|N.D.|N.D.|N.D.|N.D.|29.00|71.00|15.00|61.00|4.83|76.27|60.67|91.97|3.10|9.93|24.26|61.11|33.58|59.06|49.55|66.23|92.49|79.29
ALBÁN|25019|1,557|4,263|5,820|26.00|0.23|0.08|0.29|0.09|0.47|N.D.|N.D.|N.D.|N.D.|45.00|74.00|11.00|36.00|3.30|79.22|25.75|95.77|22.00|4.33|24.03|12.73|15.56|39.46|0|21.45|95.41|76.36
ALBÁN|52019|6,475|12,892|19,367|46.00|0.07|0.14|0.28|0.17|0.27|N.D.|N.D.|N.D.|N.D.|93.00|64.00|15.00|15.00|50.00|21.16|17.37|89.78|0|64.00|43.66|93.32|82.77|18.35|0|31.55|95.96|34.24
ALBANIA|18029|2,141|3,895|6,036|35.00|0.59|0.41|0.33|0.56|0.35|N.D.|N.D.|N.D.|N.D.|75.00|59.00|12.00|36.00|49.64|39.55|37.66|59.46|17.37|76.86|19.97|60.66|42.05|36.15|0|74.39|66.13|46.28
ALBANIA|44035|10,174|10,724|20,898|61.00|N.D.|N.D.|N.D.|N.D.|N.D.|N.D.|N.D.|N.D.|N.D.|34.00|74.00|13.00|0|3.24|60.14|1.46|61.53|3.64|2.43|18.25|95.91|44.16|57.79|4.00|42.58|71.14|64.73
ALBANIA|68020|429|3,871|4,300|41.00|0.07|0.10|0.31|0.06|0.28|N.D.|N.D.|N.D.|N.D.|50.00|55.00|25.00|33.00|26.40|59.53|9.94|86.53|8.92|28.66|15.01|75.87|68.92|9.30|6.77|9.55|84.95|62.74
ALCALÁ|76020|9,106|3,610|12,716|25.00|0.06|0.29|0.28|0.11|0.12|N.D.|N.D.|N.D.|N.D.|N.D.|64.00|16.00|40.00|3.85|96.09|74.11|97.38|3.87|3.73|9.26|10.57|9.50|72.69|10.00|84.91|97.95|97.67
ALDANA|52022|1,790|4,990|6,780|37.00|0.03|0.13|0.26|0.08|0.12|N.D.|N.D.|N.D.|N.D.|86.00|57.00|8.00|33.00|62.00|80.36|35.30|95.98|85.00|56.00|21.67|30.29|28.78|39.59|3.00|38.48|93.81|80.61
ALEJANDRÍA|05021|1,872|1,858|3,730|33.00|0.42|0.16|0.29|0.19|0.54|N.D.|N.D.|N.D.|N.D.|87.00|63.00|10.00|28.00|54.00|59.52|50.72|95.71|0|1.11|1.31|12.88|6.91|52.07|0|55.77|93.56|60.00
ALGARROBO|47030|7,319|4,237|11,556|65.00|0.20|0.42|0.29|0.24|0.11|N.D.|N.D.|N.D.|N.D.|58.00|70.00|15.00|48.00|11.03|81.56|6.00|88.79|9.02|25.35|25.34|23.95|25.17|53.23|5.00|39.00|86.88|69.59
ALGECIRAS|41020|13,902|9,421|23,323|49.00|0.86|0.38|0.27|0.20|0.96|N.D.|N.D.|N.D.|N.D.|32.00|60.00|17.00|64.00|11.56|55.29|44.43|84.30|4.34|17.98|25.17|81.27|54.89|40.82|20.64|62.67|92.64|71.13
ALMAGUER|19022|1,637|16,756|18,393|89.00|0.17|0.43|0.30|0.34|0.30|N.D.|N.D.|N.D.|N.D.|44.00|51.00|27.00|29.00|8.21|25.00|5.66|47.59|3.78|8.87|81.82|99.83|97.50|2.39|0|13.10|54.77|21.80
ALMEIDA|15022|296|1,875|2,171|37.00|0.01|0.04|0.29|0.03|0.14|N.D.|N.D.|N.D.|N.D.|97.00|59.00|9.00|10.00|3.12|61.13|11.91|90.12|2.12|3.25|13.98|38.16|35.46|11.54|5.00|14.24|90.84|62.79
ALPUJARRA|73024|1,805|3,293|5,098|39.00|0.38|0.33|0.33|0.46|0.20|N.D.|N.D.|N.D.|N.D.|N.D.|76.00|14.00|66.00|1.71|74.64|42.56|87.45|68.00|3.04|50.10|84.69|65.19|43.31|0|49.64|89.26|82.24
ALTAMIRA|41026|2,422|1,187|3,609|24.00|0.34|0.34|0.29|0.42|0.15|N.D.|N.D.|N.D.|N.D.|55.00|75.00|10.00|66.00|2.35|72.08|67.69|89.65|98.00|6.85|3.32|23.76|8.09|73.15|0|67.15|90.96|75.88
ALTO BAUDO|27025|6,300|22,202|28,502|97.00|0.52|0.81|0.29|0.72|0.16|N.D.|N.D.|N.D.|N.D.|57.00|53.00|34.00|58.00|96.20|28.97|0|2.00|96.20|N.D.|93.72|93.72|93.72|0|0|4.00|75.00|97.00
ALTOS DEL ROSARIO|13030|5,637|5,058|10,695|69.00|0.35|0.18|0.30|0.65|0.19|N.D.|N.D.|N.D.|N.D.|49.00|71.00|27.00|54.00|39.67|51.56|0|70.22|36.07|58.77|63.81|91.15|68.15|29.00|0|17.00|68.35|56.06
ALVARADO|73026|3,138|5,735|8,873|46.00|0.60|0.39|0.32|0.73|0.21|N.D.|N.D.|N.D.|N.D.|N.D.|64.00|18.00|80.00|2.03|56.11|35.61|82.64|1.21|2.38|3.28|40.12|28.89|33.61|17.07|41.33|86.64|64.29
AMAGÁ|05030|14,139|12,976|27,115|27.00|0.06|0.26|0.28|0.20|0.10|N.D.|N.D.|N.D.|N.D.|57.00|67.00|10.00|40.00|1.37|90.89|85.15|95.26|85.00|2.56|6.32|19.38|10.28|81.34|23.00|91.86|97.63|93.94
AMALFI|05031|10,969|9,513|20,482|45.00|0.76|0.36|0.28|0.34|0.87|N.D.|N.D.|N.D.|N.D.|51.00|61.00|16.00|56.00|28.06|52.30|49.24|74.09|2.85|57.00|4.23|54.33|27.55|50.75|0|56.22|78.66|59.39
AMBALEMA|73030|5,730|1,833|7,563|34.00|0.26|0.44|0.39|0.22|0.16|N.D.|N.D.|N.D.|N.D.|N.D.|79.00|14.00|69.00|1.61|90.86|75.85|94.81|1.54|2.63|4.09|5.44|4.18|76.99|36.97|77.09|93.28|90.44
ANAPOIMA|25035|4,804|6,533|11,337|30.00|0.07|0.08|0.27|0.34|0.16|N.D.|N.D.|N.D.|N.D.|42.00|77.00|11.00|25.00|14.51|80.54|32.48|92.61|7.44|19.28|4.71|29.63|19.58|40.04|0|46.33|95.08|85.68
ANCUYÁ|52036|1,795|6,509|8,304|46.00|0.01|0.01|0.26|0.20|0.14|N.D.|N.D.|N.D.|N.D.|93.00|64.00|16.00|15.00|68.00|92.95|22.37|95.63|5.00|85.00|12.50|52.47|43.86|22.56|3.00|28.72|94.50|92.73
ANDALUCÍA|76036|13,695|3,823|17,518|17.00|0.07|0.14|0.29|0.07|0.17|N.D.|N.D.|N.D.|N.D.|N.D.|80.00|8.00|28.00|1.29|92.27|68.62|98.06|1.03|2.56|2.52|23.40|6.10|77.92|37.09|76.09|98.01|94.80
ANDES|05034|19,283|22,208|41,491|30.00|0.07|0.08|0.26|0.32|0.32|N.D.|N.D.|N.D.|N.D.|52.00|59.00|11.00|50.00|4.57|59.82|43.20|96.53|1.51|8.16|5.89|13.16|9.24|53.57|0|61.95|96.04|70.27
ANGELÓPOLIS|05036|4,240|3,408|7,648|26.00|0.15|0.45|0.27|0.11|0.10|N.D.|N.D.|N.D.|N.D.|71.00|55.00|13.00|59.00|1.10|82.76|35.32|94.33|74.00|1.60|9.73|9.43|9.60|64.53|22.00|81.06|96.48|91.44
ANGOSTURA|05038|2,061|10,310|12,371|55.00|0.26|0.29|0.28|0.32|0.33|N.D.|N.D.|N.D.|N.D.|55.00|50.00|20.00|51.00|90.00|64.03|13.29|97.64|83.00|92.00|21.63|69.15|58.09|16.57|8.00|25.91|97.64|68.31
ANOLAIMA|25040|3,853|9,058|12,911|27.00|0.10|0.14|0.28|0.27|0.19|N.D.|N.D.|N.D.|N.D.|53.00|73.00|13.00|56.00|6.79|76.62|39.37|92.26|2.70|9.89|16.34|24.02|20.71|41.25|7.00|40.52|90.06|77.71
ANORÍ|05040|5,342|9,434|14,776|48.00|0.84|0.50|0.29|0.81|0.62|N.D.|N.D.|N.D.|N.D.|50.00|51.00|19.00|50.00|41.67|40.02|28.61|60.87|12.07|59.31|10.94|47.35|33.76|32.55|0|51.50|79.30|67.30
ANSERMA|17042|19,626|14,048|33,674|19.00|0.41|0.20|0.28|0.11|0.48|N.D.|N.D.|N.D.|N.D.|43.00|67.00|8.00|31.00|2.36|52.45|52.45|97.48|1.08|3.85|40.41|47.55|43.72|53.66|6.00|64.70|98.38|77.76
ANSERMANUEVO|76041|11,538|8,298|19,836|31.00|0.05|0.26|0.31|0.11|0.16|N.D.|N.D.|N.D.|N.D.|N.D.|62.00|15.00|29.00|2.57|57.13|60.41|98.25|1.30|5.31|11.59|45.12|22.19|65.42|22.80|74.99|96.77|77.81
ANZA|05044|1,157|6,214|7,371|51.00|0.08|0.24|0.27|0.36|0.11|N.D.|N.D.|N.D.|N.D.|81.00|43.00|23.00|59.00|1.94|48.81|19.41|89.47|99.00|2.23|6.15|38.23|30.85|24.61|0|27.17|87.12|53.37
ANZOÁTEGUI|73043|2,016|14,530|16,546|1.00|0.82|0.32|0.27|0.72|0.53|N.D.|N.D.|N.D.|N.D.|N.D.|50.00|17.00|80.00|34.53|52.84|20.85|82.96|35.37|34.30|53.43|54.96|54.62|19.88|18.00|33.55|85.75|59.68
APARTADÓ|05045|114,840|19,732|134,572|19.00|0.87|0.58|0.26|0.37|0.82|N.D.|N.D.|N.D.|N.D.|63.00|74.00|11.00|65.00|37.59|76.81|80.97|94.07|36.53|83.36|19.30|76.03|20.59|93.53|9.00|86.59|94.40|77.47
APÍA|66045|6,910|9,976|16,886|24.00|0.03|0.07|0.27|0.12|0.22|N.D.|N.D.|N.D.|N.D.|48.00|63.00|9.00|36.00|5.32|67.50|42.16|97.76|1.39|8.81|46.80|54.09|50.66|42.79|10.00|75.05|97.14|79.33
APULO|25599|3,066|4,564|7,630|38.00|0.04|0.14|0.29|0.07|0.14|N.D.|N.D.|N.D.|N.D.|50.00|76.00|18.00|38.00|10.95|62.37|42.95|93.12|2.97|16.35|6.10|32.80|22.02|48.85|11.00|41.37|90.97|66.81
