NOM_MUN|COD_MUN|EXP_1994|REC_1994|EXP_1995|REC_1995|EXP_1996|REC_1996|EXP_1997|REC_1997|EXP_1998|REC_1998|EXP_1999|REC_1999|EXP_2000|REC_2000|EXP_2001|REC_2001|EXP_2002|REC_2002|EXP_2003|REC_2003|EXP_2004|REC_2004|EXP_2005|REC_2005|EXP_2006|REC_2006|EXP_2007|REC_2007
ABEJORRAL|05002|0|0|0|0|0|0|0|0|1|0|11|0|104|19|339|123|569|141|215|57|365|188|275|101|191|58||15
ABREGO|54003|0|0|0|0|1|0|67|0|199|0|50|480|245|0|172|40|206|38|73|55|228|155|160|300|270|232||57
ABRIAQUÍ|05004|0|0|0|0|0|0|0|0|0|0|8|0|9|205|3|0|9|0|6|0|7|6|21|0|1|0||
ACACÍAS|50006|0|0|0|0|0|0|0|0|11|4|10|0|57|192|129|461|470|898|87|454|198|711|154|1281|110|1232||57
ACANDÍ|27006|0|0|0|0|0|0|6|0|57|1|48|460|831|0|915|1146|313|308|72|37|86|5|96|5|68|26||
ACEVEDO|41006|0|0|0|0|0|0|21|0|24|0|2|70|44|527|82|197|284|248|385|127|436|139|206|185|285|217|1|86
ACHÍ|13006|0|0|0|0|0|0|0|0|359|188|120|375|1011|0|1053|113|1885|179|662|327|369|111|395|36|257|48||4
AGRADO|41013|0|0|0|0|0|0|0|0|0|0|0|0|9|0|0|0|7|18|6|4|6|0|9|5|8|22||
AGUA DE DIOS|25001|0|0|0|0|0|0|1|0|17|0|3|0|8|0|40|76|64|86|25|36|18|7|11|71|8|31||8
AGUACHICA|20011|0|0|0|0|5|0|32|0|190|63|89|1008|271|293|733|901|915|1895|392|1546|648|1242|793|1222|554|491||201
AGUADA|68013|0|0|0|0|0|0|0|0|0|0|23|0|0|0|9|0|5|0|0|0|18|0|19|25|7|3||
AGUADAS|17013|0|0|0|0|0|0|0|0|0|0|0|15|0|0|28|0|151|53|144|103|235|161|136|114|132|47||15
AGUAZUL|85010|0|0|0|0|0|0|0|0|18|0|113|130|242|243|185|210|354|158|217|139|323|111|301|114|135|132||27
AGUSTÍN CODAZZI|20013|0|0|0|0|0|0|38|2|1068|1376|49|548|1140|526|4242|4233|2902|6411|1504|1208|3165|3486|1960|1029|1354|1113|7|134
AIPE|41016|0|0|0|0|0|0|0|0|9|9|0|0|23|0|100|229|109|354|83|118|83|113|114|152|102|165||26
ALBÁN|25019|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|5|173|90|98|45|41|20|41|57|4|21||4
ALBÁN|52019|0|0|0|0|0|0|0|0|0|0|0|0|0|0|21|36|105|0|9|71|6|55|20|35|14|24||9
ALBANIA|18029|0|0|0|0|22|0|0|0|2|0|30|0|36|49|202|54|465|41|182|110|211|94|210|152|224|38||36
ALBANIA|44035|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|8|0|0|6|8|160|372|26|81|22|36
ALBANIA|68020|0|0|0|0|0|0|10|0|1|0|1|0|12|0|23|0|21|0|15|0|28|7|27|0|3|0||
ALCALÁ|76020|0|0|0|0|0|0|0|0|0|0|0|0|6|0|0|19|11|13|5|14|26|35|25|89|31|21||17
ALDANA|52022|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|15|1|16|7|0|7|0|6|0||
ALEJANDRÍA|05021|0|0|0|0|0|0|0|0|1|0|7|290|145|0|1254|1969|324|0|103|0|42|17|21|15|31|17||7
ALGARROBO|47030|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1186|0|0|0|495|140|48|119|63|94|0||
ALGECIRAS|41020|0|0|0|0|11|0|25|0|20|14|25|271|74|26|240|92|888|81|864|43|776|168|717|48|708|103|6|9
ALMAGUER|19022|0|0|0|0|0|0|0|0|0|0|0|0|9|60|68|0|117|24|66|18|45|5|62|11|220|5||
ALMEIDA|15022|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|2|0|3|0|0|0||
ALPUJARRA|73024|0|0|0|0|0|0|0|0|0|0|1|0|29|65|79|0|151|0|102|0|72|5|22|0|48|40||5
ALTAMIRA|41026|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|12|5|11|5|22|5|68|22|23|10|16||2
