Divipola;Subsidiado
5001;639212
5002;14881
5004;1601
5021;2971
5030;12084
5031;14685
5034;25876
5036;3752
5038;9986
5040;11091
5042;15430
5044;6231
5045;55423
5051;23759
5055;7062
5059;3407
5079;18283
5086;3394
5088;88215
5091;6991
5093;12748
5101;17977
5107;6893
5113;6158
5120;25912
5125;6823
5129;19728
5134;6520
5138;12312
5142;3354
5145;3558
5147;22723
5148;16124
5150;2121
5154;62446
5172;36540
5190;5407
5197;10603
5206;3264
5209;14061
5212;15273
5234;15458
5237;6351
5240;9064
5250;37287
5264;2316
5266;19855
5282;9777
5284;18586
5306;3026
5308;13802
5310;5198
5313;6905
5315;4203
5318;10241
5321;2459
5347;4636
5353;2827
5360;48417
5361;21393
5364;8916
5368;6613
5376;11075
5380;13046
5390;4673
5400;6886
5411;7765
5425;6165
5440;16810
5467;4726
5475;3182
5480;13497
5483;9361
5490;44404
5495;18956
5501;2305
5541;11792
5543;6894
5576;6006
5579;26195
5585;8457
5591;8441
5604;15746
5607;4343
5615;18509
5628;8276
5631;5020
5642;12167
5647;5329
5649;8367
5652;4998
5656;6111
5658;1852
5659;17380
5660;8106
5664;8831
5665;26671
5667;9470
5670;13068
5674;14723
5679;14756
5686;15823
5690;7679
5697;14782
5736;20863
5756;25841
5761;8040
5789;9222
5790;31860
5792;4108
5809;4577
5819;4651
5837;80862
5842;5676
5847;24458
5854;13516
5856;3926
5858;9770
5861;6719
5873;7170
5885;5184
5887;29112
5890;15743
5893;11260
5895;19846
8001;506171
8078;33407
8137;15970
8141;9097
8296;22068
8372;11992
8421;19027
8433;64512
8436;12142
8520;13040
8549;4454
8558;8419
8560;12889
8573;14170
8606;16933
8634;15623
8638;45219
8675;9632
8685;13422
8758;230288
8770;7573
8832;9376
8849;6580
11001;1370199
13001;436566
13006;20106
13030;8572
13042;7873
13052;36287
13062;5693
13074;11327
13140;14065
13160;8206
13188;8662
13212;12446
13222;11339
13244;46796
13248;6691
13268;7835
13300;10847
13430;112010
13433;17677
13440;7675
13442;36025
