Divipola,Homicidios Concejales 2011
05001,1
05002,0
05004,0
05021,0
05030,0
05031,0
05034,0
05036,0
05038,0
05040,0
05042,0
05044,0
05045,0
05051,0
05055,0
05059,0
05079,0
05086,0
05088,0
05091,0
05093,0
05101,0
05107,0
05113,0
05120,0
05125,0
05129,0
05134,0
05138,0
05142,0
05145,0
05147,0
05148,0
05150,0
05154,0
05172,0
05190,0
05197,0
05206,0
05209,0
05212,0
05234,0
05237,0
05240,0
05250,0
05264,0
05266,0
05282,0
05284,0
05306,0
05308,0
05310,0
05313,0
05315,0
05318,0
05321,0
05347,0
05353,0
05360,0
05361,0
05364,0
05368,0
05376,0
05380,0
05390,0
05400,0
05411,0
05425,0
05440,0
05467,0
05475,0
05480,0
05483,0
05490,0
05495,0
05501,0
05541,0
05543,0
05576,0
05579,0
05585,0
05591,0
05604,0
05607,0
05615,0
05628,0
05631,0
05642,0
05647,0
05649,0
05652,0
05656,0
05658,0
05659,0
05660,0
05664,0
05665,0
05667,0
05670,0
05674,0
05679,0
05686,0
05690,0
05697,0
05736,0
05756,0
05761,0
05789,0
05790,0
05792,0
05809,0
05819,0
05837,0
05842,0
05847,0
05854,0
05856,0
05858,0
05861,0
05873,0
05885,0
05887,0
05890,0
05893,0
05895,0
08001,0
08078,0
08137,0
08141,0
08296,0
08372,0
08421,0
08433,0
08436,0
08520,0
08549,0
08558,0
08560,0
08573,0
08606,0
08634,0
08638,0
08675,0
08685,0
08758,0
08770,0
08832,0
08849,0
11001,0
13001,0
13006,0
13030,0
13042,0
13052,0
13062,0
13074,0
13140,0
13160,0
13188,0
13212,0
13222,0
13244,0
13248,0
13268,0
13300,0
13430,0
13433,0
13440,0
13442,0
13458,0
13468,0
13473,0
13490,0
13549,0
13580,0
13600,0
13620,0
13647,0
13650,0
13654,0
13655,0
13657,0
13667,0
13670,0
13673,0
13683,0
13688,0
13744,0
13760,0
13780,0
13810,0
13836,0
13838,0
13873,0
13894,0
15001,0
15022,0
15047,0
15051,0
15087,0
15090,0
15092,0
15097,0
15104,0
15106,0
15109,0
15114,0
15131,0
15135,0
15162,0
15172,0
15176,1
15180,0
15183,0
15185,0
15187,0
15189,0
15204,0
15212,0
15215,0
15218,0
15223,0
15224,0
15226,0
15232,0
15236,0
15238,0
15244,1
15248,0
15272,0
15276,0
15293,0
15296,0
15299,0
15317,0
15322,0
15325,0
15332,0
15362,0
15367,0
15368,0
15377,0
15380,0
15401,0
15403,0
15407,0
15425,0
15442,0
15455,0
15464,0
15466,0
15469,0
15476,0
15480,0
15491,0
15494,0
15500,0
15507,0
15511,0
15514,0
15516,0
15518,0
15522,0
15531,0
15533,0
15537,0
15542,0
15550,0
15572,0
15580,0
15599,0
15600,0
15621,0
15632,0
15638,0
15646,0
15660,0
15664,0
15667,0
15673,0
15676,0
15681,0
15686,0
15690,0
15693,0
15696,0
15720,0
15723,0
15740,0
15753,0
15755,0
15757,0
15759,0
15761,0
15762,0
15763,0
15764,0
15774,0
15776,0
15778,0
15790,0
15798,0
15804,0
15806,0
15808,0
15810,0
15814,0
15816,0
15820,0
15822,0
15832,0
15835,0
15837,0
15839,0
15842,0
15861,0
15879,0
15897,0
17001,0
17013,0
17042,0
17050,0
17088,0
17174,0
17272,0
17380,0
17388,0
17433,0
17442,0
17444,0
17446,0
17486,0
17495,0
17513,0
17524,0
17541,0
17614,0
17616,0
17653,0
17662,0
17665,0
17777,0
17867,0
17873,0
17877,0
18001,0
18029,0
18094,0
18150,0
18205,0
18247,0
18256,0
18410,0
18460,0
18479,0
18592,0
18610,0
18753,0
18756,0
18785,0
18860,0
19001,0
19022,0
19050,0
19075,0
19100,0
19110,0
19130,0
19137,0
19142,0
19212,0
19256,0
19290,0
19300,0
19318,0
19355,0
19364,0
19392,0
19397,0
19418,0
19450,0
19455,0
19473,0
19513,0
19517,0
19532,0
19533,0
19548,0
19573,0
19585,0
19622,0
19693,0
19698,0
19701,0
19743,0
19760,0
19780,0
19785,0
19807,0
19809,0
19821,0
19824,0
19845,0
20001,0
20011,0
20013,0
20032,0
20045,0
20060,0
20175,0
20178,0
20228,0
20238,0
20250,0
20295,0
20310,0
20383,0
20400,0
20443,0
20517,0
20550,0
20570,0
20614,0
20621,0
20710,0
20750,0
20770,0
20787,0
23001,0
23068,0
23079,0
23090,0
23162,0
23168,0
23182,0
23189,0
23300,0
23350,0
23417,0
23419,0
23464,0
23466,0
23500,0
23555,0
23570,0
23574,0
23580,0
23586,0
23660,0
23670,0
23672,1
23675,0
23678,0
23682,0
23686,0
23807,0
23815,0
23855,0
25001,0
25019,0
25035,0
25040,0
25053,0
25086,0
25095,0
25099,0
25120,0
25123,0
25126,0
25148,0
25151,0
25154,0
25168,0
25175,0
25178,0
25181,0
25183,0
25200,0
25214,0
25224,0
25245,0
25258,0
25260,0
25269,0
25279,0
25281,0
25286,0
25288,0
25290,0
25293,0
