DIVIPOLA,IDH_2005
05001,74.93
05002,60.6
05004,63.68
05021,62.55
05030,62.11
05031,60.16
05034,61.08
05036,60.72
05038,58.27
05040,66.67
05042,62.36
05044,57.28
05045,63.4
05051,58.65
05055,60.88
05059,59.92
05079,67.14
05086,61.3
05088,67.51
05091,60.18
05093,56.45
05101,60.76
05107,56.39
05113,55.35
05120,55.56
05125,56.72
05129,65.3
05134,57.82
05138,59.18
05142,63.31
05145,62.44
05147,62.03
05148,64.32
05150,65.78
05154,60.6
05172,60.1
05190,63.7
05197,59.31
05206,62.79
05209,58.3
05212,68.34
05234,53.01
05237,65.27
05240,59.95
05250,58.44
05264,67.17
05266,77.25
05282,64.36
05284,58.46
05306,60.71
05308,72.94
05310,62.45
05313,61.32
05315,63.03
05318,65.44
05321,66.33
05347,60.54
05353,60.86
05360,74.31
05361,56.34
05364,62.36
05368,65.9
05376,67.26
05380,70.8
05390,66.19
05400,64.02
05411,60.57
05425,62.23
05440,64.88
05467,65.89
05475,50.76
05480,55.99
05483,58.46
05490,57.6
05495,56.72
05501,62.38
05541,63.9
05543,55.2
05576,60.75
05579,62.12
05585,65.9
05591,60.55
05604,58.52
05607,70.91
05615,75.65
05628,57.84
05631,81.38
05642,58.19
05647,62.05
05649,66.93
05652,57.42
05656,65.33
05658,62.97
05659,57.37
05660,60.48
05664,65.02
05665,59.18
05667,63.09
05670,61.07
05674,61.29
05679,62.03
05686,64.95
05690,62.59
05697,63.11
05736,59.43
05756,61.24
05761,62.4
05789,62.73
05790,56.84
05792,62.06
05809,60.54
05819,58.22
05837,61.17
05842,55.04
05847,58.53
05854,53.88
05856,65.64
05858,58.39
05861,62.11
05873,57.51
05885,59.65
05887,63.93
05890,60.59
05893,59.6
05895,56.53
08001,70.56
08001,70.56
08078,61.39
08137,58.6
08141,56.78
08296,61.7
08372,62.6
08421,58.47
08433,62.49
08436,59.75
08520,60.03
08549,60.38
08558,60.76
08560,57.24
08573,70.36
08606,59.55
08634,61.51
08638,60.16
08675,58.07
08685,61.12
08758,62.96
08770,59.42
08832,62.99
08849,60.68
11001,80.62
13001,72.75
13006,57.44
13030,56
13042,58.26
13052,58.77
13062,58
13074,56.52
13140,57.62
13160,59.8
13188,55.92
13212,55.63
13222,57.84
13244,55.94
13248,55.57
13268,57.3
13300,55.22
13430,59.44
13433,58.57
13440,54.62
13442,57.4
13458,56.2
13468,58.98
13473,57.97
13549,56.06
13580,59.46
13600,56.33
13620,60.22
13647,59.2
13650,56.43
13654,59.09
13655,54.7
13657,57.64
13667,57.39
13670,57.16
13673,60.02
13683,58.51
13688,59.77
13744,58.31
13760,60.65
13780,58.29
13810,53.48
13836,62.52
13838,60.6
13873,56.37
13894,57.6
15001,71.77
15022,62.46
15047,59.67
15051,62.24
15087,62.15
15090,61.42
15092,60.39
15097,60.33
15104,58.46
15106,60.86
15109,58.05
15114,61.2
15131,61.85
15135,61.19
15162,62.25
15172,61.02
15176,64.56
15180,60.81
15183,56.34
15185,59.28
15187,61.14
15189,59.71
15204,61.79
15212,57.93
15215,63.51
15218,56.81
15223,52.75
15224,60.91
15226,59.84
15232,59.26
15236,61.39
15238,67.07
15244,61.68
15248,61.53
15272,63.11
15276,60.14
15293,59.44
15296,60.93
15299,63.52
15317,58.73
15322,63.2
15325,60.24
15332,52.24
15362,63.09
15367,59.52
15368,56.79
15377,54.65
15380,60.14
