DANE,Contributivo
05001,1568377
05002,2472
05004,188
05021,545
05030,12156
05031,4959
05034,8010
05036,1399
05038,874
05040,1624
05042,6725
05044,1186
05045,83518
05051,3645
05055,579
05059,1529
05079,16007
05086,969
05088,236438
05091,699
05093,1291
05101,6610
05107,558
05113,911
05120,726
05125,499
05129,52624
05134,684
05138,1438
05142,1177
05145,802
05147,21809
05148,18340
05150,1474
05154,24037
05172,25201
05190,2639
05197,1795
05206,658
05209,3658
05212,32420
05234,1221
05237,10331
05240,1691
05250,7562
05264,5765
05266,128870
05282,6719
05284,2647
05306,448
05308,27975
05310,2497
05313,1226
05315,1765
05318,16310
05321,2252
05347,769
05353,739
05360,219690
05361,1804
05364,2544
05368,3744
05376,39369
05380,9744
05390,2582
05400,8731
05411,1054
05425,1480
05440,23759
05467,937
05475,121
05480,1563
05483,737
05490,3980
05495,1180
05501,151
05541,3731
05543,399
05576,1164
05579,15999
05585,4170
05591,400
05604,2794
05607,7689
05615,90080
05628,750
05631,26562
05642,2065
05647,920
05649,2479
05652,344
05656,3781
05658,1003
05659,1231
05660,2543
05664,11305
05665,2447
05667,2732
05670,2885
05674,1963
05679,5754
05686,14166
05690,1396
05697,9024
05736,12226
05756,4947
05761,2458
05789,3972
05790,2238
05792,1406
05809,3568
05819,455
05837,31639
05842,468
05847,3211
05854,932
05856,1382
05858,1684
05861,3670
05873,196
05885,817
05887,12772
05890,2498
05893,586
05895,2443
08001,788781
08078,10719
08137,337
08141,254
08296,5249
08372,835
08421,806
08433,17699
08436,317
08520,1401
08549,103
08558,460
08560,419
08573,2722
08606,389
08634,1292
08638,25616
08675,255
08685,4424
08758,165707
08770,657
08832,399
08849,313
11001,4986570
13001,482811
13006,201
13030,14
13042,188
13052,4950
13062,74
13074,66
13140,1213
13160,212
13188,142
13212,133
13222,97
13244,9808
13248,8
13268,8
13300,78
13430,22406
13433,383
13440,34
13442,2114
13458,13
13468,5157
13473,275
13490,0
13549,234
13580,114
13600,521
13620,104
13647,383
13650,41
13654,2781
13655,32
13657,2557
13667,284
13670,1263
13673,285
13683,564
13688,1777
13744,451
13760,486
13780,32
13810,89
13836,18224
13838,1094
13873,499
13894,1891
15001,101013
15022,20
15047,809
15051,98
15087,788
15090,8
15092,104
15097,322
15104,164
15106,23
15109,77
15114,30
15131,189
15135,31
15162,246
15172,51
15176,26003
15180,40
15183,42
15185,13
15187,46
