dane,Contributivo
05001,1669159
05002,2609
05004,209
05021,659
05030,13802
05031,4887
05034,8562
05036,1649
05038,892
05040,1778
05042,7917
05044,1223
05045,85289
05051,3727
05055,655
05059,1431
05079,18145
05086,1070
05088,254967
05091,810
05093,1477
05101,7260
05107,676
05113,1207
05120,832
05125,504
05129,56444
05134,608
05138,1340
05142,1340
05145,924
05147,21924
05148,19459
05150,1605
05154,26758
05172,25963
05190,2845
05197,2118
05206,601
05209,3948
05212,34402
05234,1215
05237,10925
05240,1726
05250,8771
05264,6172
05266,135929
05282,7649
05284,2729
05306,435
05308,29212
05310,2504
05313,1380
05315,1638
05318,18181
05321,2480
05347,948
05353,877
05360,232672
05361,2243
05364,2758
05368,4433
05376,43845
05380,10003
05390,3056
05400,9144
05411,1087
05425,1682
05440,25923
05467,962
05475,192
05480,1782
05483,856
05490,4347
05495,1408
05501,158
05541,4308
05543,478
05576,1220
05579,17249
05585,4003
05591,656
05604,3875
05607,7722
05615,98369
05628,772
05631,32834
05642,2206
05647,1264
05649,2675
05652,400
05656,4130
05658,1089
05659,1491
05660,2786
05664,12410
05665,2350
05667,3003
05670,3636
05674,2107
05679,6088
05686,15189
05690,1332
05697,9901
05736,17487
05756,5568
05761,2702
05789,4037
05790,2318
05792,1646
05809,4091
05819,683
05837,32577
05842,416
05847,3454
05854,977
05856,1553
05858,2072
05861,4097
05873,174
05885,1005
05887,13306
05890,2656
05893,666
05895,2489
08001,796648
08078,11497
08137,555
08141,608
08296,5631
08372,1313
08421,633
08433,17984
08436,258
08520,1632
08549,122
08558,655
08560,381
08573,3223
08606,584
08634,1511
08638,29389
08675,376
08685,5122
08758,193362
08770,566
08832,528
08849,318
11001,5457332
13001,532779
13006,477
13030,12
13042,215
13052,5601
13062,76
13074,98
13140,632
13160,291
13188,175
13212,52
13222,105
13244,8569
13248,16
13268,22
13300,117
13430,23680
13433,449
13440,55
13442,2452
13458,99
13468,4880
13473,211
13490,0
13549,107
13580,222
13600,467
13620,141
13647,398
13650,68
13654,1084
13655,47
13657,2364
13667,393
13670,1732
13673,334
13683,691
13688,1871
13744,788
13760,555
13780,38
13810,54
13836,22912
13838,1123
13873,474
13894,2010
15001,108729
15022,18
15047,860
15051,105
15087,856
15090,10
15092,145
15097,380
15104,212
15106,29
15109,68
15114,36
15131,183
15135,97
15162,252
15172,34
15176,26665
15180,40
15183,74
15185,21
15187,41
15189,79
15204,197
15212,93
15215,825
15218,24
15223,549
15224,81
15226,67
15232,10
15236,20
15238,72277
15244,895
15248,38
15272,994
15276,200
15293,39
15296,902
15299,6776
15317,22
15322,4558
15325,181
15332,511
15362,220
15367,244
15368,608
15377,152
15380,37
15401,30
15403,156
15407,5700
15425,79
15442,33
15455,3003
15464,1087
15466,1291
15469,6378
15476,66
15480,2061
15491,3800
15494,61
15500,151
15507,1282
15511,36
15514,92
15516,14225
15518,246
15522,8
15531,783
15533,5
15537,2105
15542,483
15550,71
15572,18676
15580,10
15599,2273
15600,547
15621,71
15632,286
15638,44
15646,11530
15660,14
15664,144
15667,829
15673,138
15676,189
15681,37
15686,946
15690,749
15693,951
15696,57
15720,135
15723,137
15740,75
15753,3609
15755,2146
15757,3748
15759,79113
15761,39
15762,39
15763,790
15764,122
15774,54
15776,466
15778,51
15790,1582
15798,254
15804,162
15806,1565
15808,59
15810,44
15814,2044
15816,25
15820,1019
15822,137
15832,14
15835,619
15837,340
15839,33
15842,200
15861,1492
15879,35
15897,74
17001,274162
17013,3015
17042,6184
17050,1801
17088,1428
17174,24399
17272,1061
17380,36216
17388,596
17433,2440
17442,1894
17444,1002
17446,241
17486,2925
17495,138
17513,1805
17524,2692
17541,2953
17614,6653
17616,1292
17653,3530
17662,1147
17665,427
17777,5165
17867,969
17873,15633
17877,4519
18001,51133
18029,218
18094,1062
18150,1497
18205,596
18247,2462
18256,996
18410,436
18460,251
18479,165
18592,2010
18610,439
18753,4332
18756,383
18785,514
18860,304
19001,132637
19022,275
19050,250
19075,349
19100,905
19110,775
19130,681
19137,434
19142,6483
19212,4640
19256,1054
19290,196
19300,87
19318,2506
19355,863
19364,274
19392,244
19397,455
19418,216
19450,529
19455,8964
19473,445
19513,1544
19517,901
19532,3943
19533,39
19548,4750
19573,29536
19585,586
19622,533
19693,170
19698,35767
19701,110
19743,884
19760,143
19780,642
19785,103
19807,3496
19809,293
19821,739
19824,305
19845,3477
20001,186348
20011,32480
20013,16428
20032,631
20045,1205
20060,7656
20175,1181
20178,3159
20228,2546
20238,6203
20250,9473
20295,238
20310,45
20383,1136
20400,13918
20443,294
20517,1018
20550,1816
20570,315
20614,137
20621,1125
20710,14525
20750,412
20770,5264
20787,552
23001,172036
23068,2867
23079,1970
