DANE,Subsidiado
05001,599062
05002,14618
05004,1506
05021,2875
05030,10204
05031,15621
05034,29046
05036,3296
05038,9777
05040,12789
05042,15930
05044,5765
05045,51143
05051,24875
05055,7186
05059,3189
05079,18180
05086,3577
05088,96224
05091,7590
05093,14173
05101,19404
05107,6612
05113,5441
05120,28064
05125,6776
05129,17490
05134,6738
05138,12837
05142,3092
05145,3710
05147,24049
05148,14590
05150,1879
05154,62774
05172,37688
05190,6554
05197,10572
05206,3190
05209,14543
05212,16366
05234,18036
05237,6380
05240,8690
05250,40492
05264,2415
05266,17864
05282,9291
05284,18611
05306,3266
05308,12195
05310,5119
05313,6738
05315,4231
05318,11356
05321,2382
05347,4365
05353,2981
05360,50672
05361,21175
05364,10146
05368,6169
05376,10483
05380,11278
05390,4613
05400,8420
05411,7883
05425,6367
05440,16478
05467,5095
05475,3367
05480,14785
05483,9975
05490,45317
05495,20563
05501,2108
05541,11755
05543,7021
05576,6062
05579,25566
05585,7872
05591,9596
05604,16146
05607,3855
05615,18652
05628,7825
05631,4803
05642,13628
05647,4895
05649,8882
05652,5047
05656,6369
05658,2033
05659,20126
05660,9120
05664,9156
05665,30265
05667,9264
05670,13465
05674,14893
05679,14009
05686,16223
05690,7454
05697,15067
05736,21595
05756,25898
05761,8504
05789,9439
05790,31025
05792,3781
05809,4121
05819,4391
05837,90646
05842,5900
05847,25253
05854,13827
05856,3803
05858,10025
05861,7026
05873,7401
05885,5053
05887,30635
05890,15601
05893,10874
05895,20989
08001,597299
08078,36155
08137,21080
08141,12491
08296,22018
08372,12336
08421,19820
08433,67114
08436,14130
08520,15356
08549,4869
08558,10146
08560,16533
08573,16549
08606,20076
08634,16656
08638,63242
08675,10655
08685,16040
08758,252384
08770,9037
08832,7492
08849,6719
11001,1286353
13001,428966
13006,23473
13030,9176
13042,7155
13052,47984
13062,5955
13074,15006
13140,20054
13160,7363
13188,10980
13212,16454
13222,10727
13244,66452
13248,7185
13268,8488
13300,9419
13430,124190
13433,20842
13440,9275
13442,45595
13458,9328
13468,46632
13473,15096
13490,3281
13549,21856
13580,5098
13600,12422
13620,6005
13647,14062
13650,10310
13654,24194
13655,11098
13657,33591
13667,16460
13670,22302
13673,11600
13683,13809
13688,25184
13744,16339
13760,7134
13780,12584
13810,20562
13836,38002
13838,10183
13873,18864
13894,9156
15001,52020
15022,1597
15047,14596
15051,4066
15087,5854
15090,1648
15092,1464
15097,5044
15104,4146
15106,2075
15109,4322
15114,533
15131,3009
15135,2727
15162,2322
15172,2563
15176,28225
15180,3875
15183,8926
15185,5248
15187,2234
15189,3884
15204,7507
15212,3273
15215,1190
15218,2652
15223,6503
15224,3186
15226,1424
15232,5166
15236,1791
15238,39571
15244,3927
15248,2399
15272,3714
15276,2711
15293,2653
15296,3349
15299,9799
15317,1330
15322,5887
15325,3110
15332,3936
15362,1195
15367,5364
15368,3211
15377,3435
15380,2323
15401,1223
15403,2358
15407,6233
15425,3596
15442,6209
15455,5368
15464,3446
15466,2883
15469,14348
15476,4373
15480,7260
15491,5594
15494,4856
15500,1734
15507,6945
15511,1979
15514,2157
15516,13359
15518,1665
15522,1861
15531,6741
15533,2042
15537,2146
15542,6276
15550,1568
15572,29610
15580,5527
15599,7708
15600,4316
15621,2179
15632,9999
15638,3186
15646,9392
15660,1422
15664,4493
15667,4116
15673,3494
15676,2467
15681,6506
15686,6648
15690,2650
15693,5672
15696,2503
15720,1872
15723,986
15740,6930
15753,6456
15755,5733
15757,4401
15759,40496
15761,2110
15762,2355
15763,5434
15764,5479
15774,2523
15776,4415
15778,3215
15790,4137
15798,3134
15804,7655
15806,5656
15808,1927
15810,3131
15814,6963
15816,4298
15820,1843
15822,4873
15832,1348
15835,5776
15837,5521
15839,1992
15842,6996
15861,11234
15879,2848
15897,4000
17001,85665
17013,17515
17042,26013
17050,9970
17088,8282
17174,27528
17272,8484
17380,43617
17388,4548
17433,14349
17442,5738
17444,11248
17446,2080
17486,14967
17495,4594
17513,10773
17524,9640
17541,16368
17614,41266
17616,8664
17653,13798
17662,18332
17665,3906
17777,20365
17867,6847
17873,14596
17877,7904
18001,96093
18029,4600
18094,8702
18150,20680
18205,9560
18247,16379
18256,12906
18410,12556
18460,8460
18479,3552
18592,23432
18610,10190
18753,37538
18756,9096
18785,6796
18860,8429
19001,125460
19022,16627
19050,23836
19075,19790
19100,40549
19110,23128
19130,32856
19137,29179
19142,17603
19212,21606
19256,43294
19290,5250
19300,8254
19318,24157
19355,24860
19364,14814
19392,10900
19397,19581
19418,13787
19450,15577
19455,14551
19473,23660
19513,5174
19517,32211
19532,28513
19533,8380
19548,30198
19573,20778
19585,15771
19622,9181
19693,9994
19698,53889
19701,5752
19743,35733
19760,10593
19780,16905
19785,6717
19807,25817
19809,22373
19821,27622
19824,17462
19845,8970
20001,287317
20011,65625
20013,49317
20032,18600
20045,14064
20060,30672
20175,34945
20178,24159
20228,28208
20238,22245
20250,18615
20295,10008
20310,3681
20383,13007
20400,17447
20443,9082
20517,18248
20550,15958
20570,27049
20614,10596
20621,22254
20710,13905
20750,14772
20770,13726
20787,13234
23001,309339
23068,40272
23079,16158
23090,17644
23162,64230
23168,14145
23182,36723
23189,48171
23300,14786
23350,11369
23417,95246
23419,16162
23464,14325
23466,62917
23500,23705
23555,51056
23570,27972
23574,28103
23580,34750
23586,13780
23660,67108
23670,43987
23672,25906
23675,31545
23678,19032
23682,4831
23686,36876
23807,86510
23815,36361
23855,30900
25001,6776
25019,2934
25035,6846
25040,8308
25053,7041
25086,1551
25095,1549
25099,2571
25120,4196
25123,5712
25126,10130
25148,11156
25151,12366
25154,6514
25168,3088
25175,15742
25178,6453
25181,7765
25183,12043
25200,5530
25214,6371
25224,2672
25245,11801
25258,3641
25260,4348
25269,28097
25279,8325
25281,5598
25286,13187
25288,3186
25290,51167
25293,4193
25295,2230
25297,7004
25299,2774
25307,45083
25312,4000
25317,5339
25320,16374
25322,2963
25324,1888
25326,3084
25328,2512
25335,3833
25339,2772
25368,2156
25372,5427
25377,6329
25386,13722
25394,7783
25398,5538
25402,8492
25407,6428
25426,4884
25430,14168
25436,3019
25438,6887
25473,18939
25483,1723
25486,4479
25488,3415
25489,2596
25491,3741
25506,4417
25513,14856
25518,3741
25524,3544
25530,4193
25535,7768
25572,8182
25580,2304
25592,3456
