;1899;1899;1899;1997;1997;1997;1997;1997;1997;1997;1997;1997;1997;1997;1997;1998;1998;1998;1998;1998;1998;1998;1998;1998;1998;1998;1998;1999;1999;1999;1999;1999;1999;1999;1999;1999;1999;1999;1999;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2001;2001;2001;2001;2001;2001;2001;2001;2001;2001;2001;2001;2002;2002;2002;2002;2002;2002;2002;2002;2002;2002;2002;2002;2003;2003;2003;2003;2003;2003;2003;2003;2003;2003;2003;2003;2004;2004;2004;2004;2004;2004;2004;2004;2004;2004;2004;2004;2005;2005;2005;2005;2005;2005;2005;2005;2005;2005;2005;2005;2006;2006;2006;2006;2006;2006;2006;2006;2006;2006;2006;2006;2007;2007;2007;2007;2007;2007;2007;2007;2007;2007;2007;2007
;1;10;2;1;10;11;12;2;3;4;5;6;7;8;9;1;10;11;12;2;3;4;5;6;7;8;9;1;10;11;12;2;3;4;5;6;7;8;9;1;10;11;12;2;3;4;5;6;7;8;9;1;10;11;12;2;3;4;5;6;7;8;9;1;10;11;12;2;3;4;5;6;7;8;9;1;10;11;12;2;3;4;5;6;7;8;9;1;10;11;12;2;3;4;5;6;7;8;9;1;10;11;12;2;3;4;5;6;7;8;9;1;10;11;12;2;3;4;5;6;7;8;9;1;10;11;12;2;3;4;5;6;7;8;9
Codigo_municipio_expuls;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual;Individual
00000;1015;;;14;12;11;7;;2;;3;;1;;8;46;27;13;8;17;43;28;2;23;12;12;21;65;40;223;628;2;15;30;3;25;19;2;12;281;1905;876;832;510;861;3052;2163;3016;1671;1269;1539;571;25;12;9;559;337;104;7;21;51;42;14;26;38;13;8;7;12;22;41;23;3;26;29;424;13;8;13;448;153;8;9;15;6;3;4;80;17;19;28;34;197;86;28;7;22;13;10;82;477;423;292;206;307;230;203;229;348;481;521;408;;;;346;374;85;81;;;;;8;;6;;;7;4;;;1;;9
05001;8;;;35;24;;;16;18;7;11;14;7;28;5;;7;;6;9;28;72;5;10;27;;14;11;;13;30;17;;9;8;12;8;6;11;18;26;55;19;65;82;47;30;61;10;27;24;28;141;90;45;64;39;80;91;137;52;111;85;82;292;94;89;128;109;178;165;147;218;211;266;136;87;56;66;125;165;126;149;164;87;114;91;58;78;49;38;110;81;62;76;50;114;162;76;46;59;70;46;147;71;50;83;40;94;57;83;105;118;34;64;62;111;96;119;68;62;92;102;52;72;53;;145;99;104;94;77;101;90;55
05002;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;3;8;;;9;19;9;5;3;6;9;;7;7;12;42;34;15;6;39;24;21;49;40;17;6;31;16;16;2;;21;25;14;117;103;98;16;30;20;7;18;7;31;42;22;18;2;9;13;18;30;19;5;13;39;21;43;31;58;23;57;23;62;9;27;21;11;16;38;23;17;9;27;10;21;14;20;4;26;10;22;9;19;1;21;20;39;;;;17;34;7;9;7;14;27;5
05004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;5;;;;;;;;;;9;;;;;;;;3;;;;;;;;7;;;;;;2;;;;;;;;6;;;;;;;;;;;;;;;;;7;;;;;;;;;;6;;;;;8;7;;;8;;;;;;;1;;;;;;;;;3;;;;;
05021;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;6;;;;;5;;12;7;3;;23;22;7;11;47;8;21;12;62;37;;2;7;4;7;5;27;9;63;11;3;3;95;22;22;9;14;35;8;26;21;;;;10;8;1;9;8;34;6;6;6;;5;3;4;;;6;;;;;;;;;;;5;5;6;;5;;5;;10;7;;3;5;7;;3;4;5;;;;;1;;;7;;1;6;
05030;;;;;;;;;;;;;;;;;;;;;;;7;;;;1;;;;;;;;;1;;;;3;;;;;2;9;4;3;;;3;7;5;2;2;3;;;7;3;;10;5;7;4;;;5;19;5;2;9;11;;4;26;20;5;;;4;;22;9;;7;4;;;1;;;;;;4;11;15;;;2;;;2;;;;3;;6;6;4;6;;;;3;;8;4;;8;;;;;;4;;;6;4;;;
05031;;;;;;;3;;;;;;;;;6;;3;13;4;;;1;4;4;8;13;1;;;;;;1;14;4;;3;;10;4;26;24;17;12;5;25;18;17;4;20;13;32;15;5;27;6;31;12;19;15;16;28;45;;12;4;41;69;54;49;21;15;6;16;5;3;;;14;19;6;8;1;;;;;2;2;4;;13;4;4;;8;20;4;5;;5;18;17;;;6;6;;2;;9;6;10;4;44;17;6;11;1;;6;8;5;;;1;21;3;3;5;6;12;9;2
